,Price Range,Cuisine Style,URL_TA,Number of Reviews
3579,$$ - $$$,"['Spanish', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g187497-d9975834-Reviews-La_Columna-Barcelona_Catalonia.html,47.0
3580,,,/Restaurant_Review-g186338-d5443361-Reviews-Caglar_Kebab-London_England.html,7.0
3581,,,/Restaurant_Review-g186338-d12908818-Reviews-The_Sandwich_Centre-London_England.html,7.0
3582,,,/Restaurant_Review-g187323-d954325-Reviews-Alt_Nurnberg-Berlin.html,5.0
3583,$,,/Restaurant_Review-g187331-d1039348-Reviews-Ming-Hamburg.html,12.0
3585,,,/Restaurant_Review-g186338-d8397475-Reviews-Suchef_Old_Street-London_England.html,2.0
3586,$,"['Bar', 'Spanish', 'Pub']",/Restaurant_Review-g187514-d10468664-Reviews-Mahoudrid-Madrid.html,65.0
3587,,,/Restaurant_Review-g187849-d11737406-Reviews-Ristorante_Pizzeria_San_Benedetto-Milan_Lombardy.html,6.0
3589,,,/Restaurant_Review-g187514-d8089203-Reviews-FREIDURIA_NUCITA-Madrid.html,8.0
3590,,,/Restaurant_Review-g190454-d10084553-Reviews-Ocakbasi-Vienna.html,4.0
3591,$,,/Restaurant_Review-g188057-d10145653-Reviews-Edward_s_Restaurant-Geneva.html,18.0
3592,$,"['Italian', 'Pizza', 'Seafood']",/Restaurant_Review-g187849-d4055970-Reviews-L_aragosta_innamorata-Milan_Lombardy.html,57.0
3593,$$ - $$$,"['Mediterranean', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g187514-d8491751-Reviews-Le_petit-Madrid.html,130.0
3594,,,/Restaurant_Review-g189400-d3611385-Reviews-Al_Sette-Athens_Attica.html,3.0
3595,,,/Restaurant_Review-g187849-d11677886-Reviews-Friend_Bar-Milan_Lombardy.html,2.0
3596,,"['Diner', 'Czech']",/Restaurant_Review-g274707-d7124030-Reviews-Sconto-Prague_Bohemia.html,3.0
3597,$,"['Italian', 'Pizza', 'Vegetarian Friendly']",/Restaurant_Review-g187849-d11772793-Reviews-Pizzeria_Il_Principe-Milan_Lombardy.html,40.0
3598,,"['Italian', 'Pizza']",/Restaurant_Review-g274924-d5048805-Reviews-Pizzeria_Pomodoro_Rosso-Bratislava_Bratislava_Region.html,11.0
3599,,,/Restaurant_Review-g274924-d5048802-Reviews-Bufet_u_Zuzky-Bratislava_Bratislava_Region.html,1.0
3600,,,/Restaurant_Review-g186338-d7303597-Reviews-Que_Tapas-London_England.html,1.0
3601,$$ - $$$,"['Bar', 'Pub']",/Restaurant_Review-g189934-d9846538-Reviews-B_Side_Bar-Helsinki_Uusimaa.html,12.0
3602,,,/Restaurant_Review-g190356-d13007626-Reviews-La_Galerie_Auchan-Luxembourg_City.html,1.0
3603,,,/Restaurant_Review-g187323-d1346452-Reviews-El_Burai-Berlin.html,1.0
3604,,,/Restaurant_Review-g186525-d4598159-Reviews-Herbie_West_End-Edinburgh_Scotland.html,8.0
3605,,,/Restaurant_Review-g189934-d886816-Reviews-Bud_s_Pizzeria-Helsinki_Uusimaa.html,4.0
3606,,,/Restaurant_Review-g186338-d10092998-Reviews-Burrito_Co-London_England.html,1.0
3608,,,/Restaurant_Review-g274707-d4561240-Reviews-Kavarna_Svetnicka-Prague_Bohemia.html,4.0
3609,,,/Restaurant_Review-g187514-d2307161-Reviews-La_Locanda-Madrid.html,1.0
3610,,,/Restaurant_Review-g274924-d4770041-Reviews-Restauracia_Live-Bratislava_Bratislava_Region.html,1.0
3611,$$ - $$$,"['Seafood', 'European', 'Swedish']",/Restaurant_Review-g189852-d6999227-Reviews-Restaurang_Roekeriet-Stockholm.html,26.0
3613,$$ - $$$,"['French', 'Cafe', 'Vegetarian Friendly']",/Restaurant_Review-g190356-d6994732-Reviews-La_Coquille-Luxembourg_City.html,24.0
3614,,,/Restaurant_Review-g187323-d5513947-Reviews-Burger_King-Berlin.html,17.0
3615,$,"['Cafe', 'Spanish']",/Restaurant_Review-g187514-d12357368-Reviews-Granier-Madrid.html,13.0
3616,$$ - $$$,,/Restaurant_Review-g186338-d12904026-Reviews-Steakandco-London_England.html,19.0
3617,$$ - $$$,"['German', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g190454-d10509786-Reviews-Yachthafen_Kuchelau-Vienna.html,18.0
3618,,,/Restaurant_Review-g187323-d12437980-Reviews-Happy_Asia-Berlin.html,6.0
3619,,,/Restaurant_Review-g187323-d10780634-Reviews-Vino_Vita-Berlin.html,5.0
3620,$$ - $$$,,/Restaurant_Review-g274856-d13139768-Reviews-So_Coffee-Warsaw_Mazovia_Province_Central_Poland.html,15.0
3621,,,/Restaurant_Review-g4505479-d6868910-Reviews-Piz_z_d_autrefois-Francheville_Lyon_Rhone_Auvergne_Rhone_Alpes.html,2.0
3622,$,,/Restaurant_Review-g187849-d8338481-Reviews-Cotton-Milan_Lombardy.html,8.0
3623,,,/Restaurant_Review-g186338-d5243316-Reviews-Lahore_Two_Restaurant-London_England.html,8.0
3624,$$$$,"['American', 'International']",/Restaurant_Review-g187323-d7676597-Reviews-Pan_Am_Lounge-Berlin.html,9.0
3625,,"['British', 'Turkish']",/Restaurant_Review-g186338-d808558-Reviews-Fish_Bar-London_England.html,12.0
3627,$$ - $$$,"['German', 'Brew Pub', 'Pub']",/Restaurant_Review-g187331-d959091-Reviews-EierCarl-Hamburg.html,84.0
3628,,,/Restaurant_Review-g187147-d7124713-Reviews-Le_Premier-Paris_Ile_de_France.html,2.0
3629,$$ - $$$,"['Italian', 'Vegetarian Friendly']",/Restaurant_Review-g187147-d13313707-Reviews-Bocconi_Ristorante-Paris_Ile_de_France.html,16.0
3630,,"['American', 'Fast Food']",/Restaurant_Review-g189158-d13125675-Reviews-Subway-Lisbon_Lisbon_District_Central_Portugal.html,9.0
3631,,"['Chinese', 'Thai']",/Restaurant_Review-g189852-d3498715-Reviews-New_City_Wok-Stockholm.html,4.0
3632,,,/Restaurant_Review-g187331-d6033925-Reviews-Lima_Lima-Hamburg.html,15.0
3633,,,/Restaurant_Review-g187514-d12058160-Reviews-Peggy_Sue_s-Madrid.html,21.0
3635,$$ - $$$,"['European', 'Wine Bar', 'Vegetarian Friendly']",/Restaurant_Review-g186338-d13126079-Reviews-Vinoteca-London_England.html,66.0
3637,$,"['Fast Food', 'Vegetarian Friendly']",/Restaurant_Review-g187514-d12846131-Reviews-100_Montaditos-Madrid.html,29.0
3638,,"['Sushi', 'Thai', 'Vietnamese']",/Restaurant_Review-g187323-d9748123-Reviews-Viet_Ha-Berlin.html,10.0
3639,,"['European', 'Pub', 'Hungarian']",/Restaurant_Review-g274887-d10302453-Reviews-Ahoj_Cseho_Food-Budapest_Central_Hungary.html,3.0
3642,,,/Restaurant_Review-g187514-d12981140-Reviews-Cerveceria_Conde-Madrid.html,5.0
3643,,,/Restaurant_Review-g187849-d8339935-Reviews-Bar_in_Centro-Milan_Lombardy.html,4.0
3644,,,/Restaurant_Review-g187497-d9994264-Reviews-Bolleria_Sebastia-Barcelona_Catalonia.html,6.0
3645,$,,/Restaurant_Review-g187514-d9802625-Reviews-La_Vie_en_Doux-Madrid.html,13.0
3646,,,/Restaurant_Review-g187331-d981805-Reviews-Blauer_Peter-Hamburg.html,2.0
3649,,,/Restaurant_Review-g186605-d945300-Reviews-Cafe_Royale_Brasserie-Dublin_County_Dublin.html,2.0
3650,,,/Restaurant_Review-g187147-d1334300-Reviews-Piatti-Paris_Ile_de_France.html,2.0
3651,$$ - $$$,"['Mediterranean', 'Greek', 'Vegetarian Friendly']",/Restaurant_Review-g187323-d4762589-Reviews-Ano_Kato-Berlin.html,16.0
3652,$,,/Restaurant_Review-g187497-d6680272-Reviews-Restaurant_L_Anxova-Barcelona_Catalonia.html,15.0
3653,$,"['Middle Eastern', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g187323-d7917841-Reviews-Tutti-Berlin.html,17.0
3654,$,"['Chinese', 'Vegetarian Friendly']",/Restaurant_Review-g274707-d7246425-Reviews-Le_Xin-Prague_Bohemia.html,20.0
3656,$,,/Restaurant_Review-g187849-d5861784-Reviews-Maison_Cafe_Bistrot_Con_Cucina-Milan_Lombardy.html,20.0
3657,$$ - $$$,"['Japanese', 'Sushi']",/Restaurant_Review-g189158-d12559641-Reviews-A_Loja-Lisbon_Lisbon_District_Central_Portugal.html,9.0
3658,$$ - $$$,,/Restaurant_Review-g187265-d5524876-Reviews-Bistrot_de_la_Place-Lyon_Rhone_Auvergne_Rhone_Alpes.html,15.0
3659,$$ - $$$,,/Restaurant_Review-g274856-d8731904-Reviews-4_Czwarte_Food_Lounge-Warsaw_Mazovia_Province_Central_Poland.html,7.0
3660,$,"['Italian', 'Pizza']",/Restaurant_Review-g187791-d7940490-Reviews-Pizzeria_Anna_E_Corrado-Rome_Lazio.html,11.0
3661,,,/Restaurant_Review-g274856-d12330132-Reviews-Pizzeria_Nigro-Warsaw_Mazovia_Province_Central_Poland.html,4.0
3662,$$ - $$$,"['French', 'Seafood']",/Restaurant_Review-g187147-d10373036-Reviews-Fish_Point-Paris_Ile_de_France.html,11.0
3663,,"['Italian', 'Pizza']",/Restaurant_Review-g274772-d6553222-Reviews-Vera_Pizza-Krakow_Lesser_Poland_Province_Southern_Poland.html,6.0
3664,,,/Restaurant_Review-g189158-d5979455-Reviews-Elephant_Walk_Cafe-Lisbon_Lisbon_District_Central_Portugal.html,8.0
3665,,,/Restaurant_Review-g187514-d6514472-Reviews-Llaollao-Madrid.html,32.0
3666,,,/Restaurant_Review-g274707-d4769281-Reviews-Hole_in_one-Prague_Bohemia.html,9.0
3667,$,,/Restaurant_Review-g186338-d5122825-Reviews-First_Choice-London_England.html,21.0
3668,$,"['Cafe', 'Healthy']",/Restaurant_Review-g187323-d12857183-Reviews-Vanilla_Grey-Berlin.html,9.0
3670,,,/Restaurant_Review-g190479-d10225695-Reviews-Madina_Sweets-Oslo_Eastern_Norway.html,3.0
3671,,,/Restaurant_Review-g187323-d5002881-Reviews-Restaurant-Berlin.html,2.0
3672,,,/Restaurant_Review-g189158-d12406954-Reviews-Snack_Bar_Volta_Ca-Lisbon_Lisbon_District_Central_Portugal.html,1.0
3673,$$ - $$$,"['Italian', 'Vegetarian Friendly']",/Restaurant_Review-g187323-d10310333-Reviews-Trattoria_Piazza_Siciliana-Berlin.html,39.0
3674,$$ - $$$,,/Restaurant_Review-g187514-d6420170-Reviews-La_Encinita-Madrid.html,38.0
3675,$,"['French', 'European']",/Restaurant_Review-g188644-d12186479-Reviews-Le_Sorrento-Brussels.html,12.0
3676,,,/Restaurant_Review-g274856-d12233186-Reviews-Geisha_Sushi-Warsaw_Mazovia_Province_Central_Poland.html,11.0
3678,,,/Restaurant_Review-g187497-d12400902-Reviews-L_Sara-Barcelona_Catalonia.html,10.0
3681,$$ - $$$,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",/Restaurant_Review-g190454-d10090935-Reviews-Spumante_Ristorante-Vienna.html,27.0
3682,,,/Restaurant_Review-g187514-d5897282-Reviews-Stop_Go-Madrid.html,3.0
3683,,,/Restaurant_Review-g186338-d5122024-Reviews-Efes_Restaurant-London_England.html,4.0
3684,,,/Restaurant_Review-g190479-d8591199-Reviews-Barotto_AS-Oslo_Eastern_Norway.html,16.0
3685,,,/Restaurant_Review-g187323-d11718304-Reviews-Donerbiz-Berlin.html,3.0
3686,$,"['Specialty Food Market', 'Italian', 'Vegetarian Friendly']",/Restaurant_Review-g187849-d10328491-Reviews-El_Murne-Milan_Lombardy.html,16.0
3687,,,/Restaurant_Review-g187514-d12670673-Reviews-La_Habana_Vieja-Madrid.html,11.0
3688,,,/Restaurant_Review-g187323-d5512519-Reviews-Monsieur_Toche-Berlin.html,9.0
3689,,,/Restaurant_Review-g187147-d6384182-Reviews-Francois_Compagnie-Paris_Ile_de_France.html,7.0
3690,,,/Restaurant_Review-g188644-d1051991-Reviews-Les_4_Saisons-Brussels.html,1.0
3691,$,"['Dessert', 'Cafe', 'European']",/Restaurant_Review-g189158-d2292627-Reviews-A_Tentadora-Lisbon_Lisbon_District_Central_Portugal.html,39.0
3692,,,/Restaurant_Review-g188113-d11726692-Reviews-Lindenhof-Zurich.html,1.0
3693,,,/Restaurant_Review-g189852-d2350990-Reviews-Buchetto-Stockholm.html,28.0
3694,,,/Restaurant_Review-g187497-d4149068-Reviews-Bo_de_debo_Bar-Barcelona_Catalonia.html,8.0
3695,,,/Restaurant_Review-g187849-d8338615-Reviews-Tabacchi_Riv_658-Milan_Lombardy.html,3.0
3696,$,"['European', 'Portuguese']",/Restaurant_Review-g189158-d10810357-Reviews-Pontivirgula_Pastelaria_Snack_bar-Lisbon_Lisbon_District_Central_Portugal.html,10.0
3698,$$ - $$$,"['Cafe', 'Deli', 'Healthy']",/Restaurant_Review-g186525-d12981974-Reviews-Roots_Deli_and_Salad_Bar-Edinburgh_Scotland.html,61.0
3699,,,/Restaurant_Review-g187331-d8669398-Reviews-Krosse_Krabbe-Hamburg.html,6.0
3700,,"['Italian', 'Fast Food']",/Restaurant_Review-g186338-d8444438-Reviews-My_Pasta_Bar-London_England.html,12.0
3701,,"['Cafe', 'Turkish']",/Restaurant_Review-g188057-d11749811-Reviews-Chiche_Ou_Pas_Chiche-Geneva.html,10.0
3702,$$ - $$$,"['German', 'European', 'Central European']",/Restaurant_Review-g187309-d1350447-Reviews-SIEBENBRUNN_Wirtshaus_Biergarten_am_Tierpark-Munich_Upper_Bavaria_Bavaria.html,118.0
3703,,,/Restaurant_Review-g187309-d7617636-Reviews-Quan_Sen-Munich_Upper_Bavaria_Bavaria.html,4.0
3704,,,/Restaurant_Review-g190454-d7153938-Reviews-Apicius_Restaurant-Vienna.html,10.0
3705,$$ - $$$,"['Bakeries', 'French', 'Vegetarian Friendly']",/Restaurant_Review-g187147-d7817857-Reviews-La_Maison_Kayser-Paris_Ile_de_France.html,41.0
3706,$$ - $$$,"['Thai', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g188590-d12146830-Reviews-Bar_Mash-Amsterdam_North_Holland_Province.html,27.0
3707,$$ - $$$,"['French', 'European', 'Healthy']",/Restaurant_Review-g187265-d10151231-Reviews-Les_Apothicaires-Lyon_Rhone_Auvergne_Rhone_Alpes.html,306.0
3708,$,"['Cafe', 'Deli']",/Restaurant_Review-g187497-d10273776-Reviews-De_Pa_I_Xocolata-Barcelona_Catalonia.html,14.0
3709,,,/Restaurant_Review-g274856-d8610918-Reviews-Mamma_Papa-Warsaw_Mazovia_Province_Central_Poland.html,24.0
3710,$$ - $$$,"['Bar', 'Seafood', 'Pub']",/Restaurant_Review-g186338-d8586972-Reviews-The_Bloody_Oyster-London_England.html,12.0
3711,$$ - $$$,"['Steakhouse', 'International', 'Barbecue']",/Restaurant_Review-g188113-d13169262-Reviews-Steakhouse_Oldtown-Zurich.html,81.0
3712,,"['Cafe', 'International', 'European']",/Restaurant_Review-g187323-d13126274-Reviews-Leutemanns-Berlin.html,6.0
3713,,,/Restaurant_Review-g274887-d12147333-Reviews-Julian_Restaurant-Budapest_Central_Hungary.html,3.0
3714,,,/Restaurant_Review-g187849-d8737348-Reviews-L_atelier-Milan_Lombardy.html,3.0
3716,$$ - $$$,"['South American', 'Vegan Options']",/Restaurant_Review-g187514-d11921719-Reviews-Crepets-Madrid.html,27.0
3717,$$ - $$$,"['French', 'Vegetarian Friendly']",/Restaurant_Review-g187147-d11773873-Reviews-Le_Jolant-Paris_Ile_de_France.html,47.0
3718,$,"['Fast Food', 'European', 'Danish']",/Restaurant_Review-g189541-d877245-Reviews-Blue_House-Copenhagen_Zealand.html,20.0
3719,$,"['European', 'Czech']",/Restaurant_Review-g274707-d7693548-Reviews-Restaurant_Evropa-Prague_Bohemia.html,4.0
3720,$$ - $$$,"['Mediterranean', 'Spanish', 'Soups']",/Restaurant_Review-g187497-d5776107-Reviews-Bar_Restaurante_Antigua_Casa_Rafael-Barcelona_Catalonia.html,55.0
3721,$$ - $$$,"['Pub', 'Gastropub']",/Restaurant_Review-g187514-d8799214-Reviews-Devinos-Madrid.html,13.0
3722,$,"['European', 'Hungarian', 'Vegetarian Friendly']",/Restaurant_Review-g274887-d7274301-Reviews-Uj_Hazi_Vendeglo-Budapest_Central_Hungary.html,29.0
3723,,"['European', 'Pub', 'Portuguese']",/Restaurant_Review-g189158-d13196881-Reviews-Buuba_Bar-Lisbon_Lisbon_District_Central_Portugal.html,7.0
3724,$$ - $$$,"['Moroccan', 'Mediterranean', 'Vegetarian Friendly']",/Restaurant_Review-g1136488-d8068669-Reviews-La_Baie_de_Tanger-Uccle_Brussels.html,48.0
3725,,,/Restaurant_Review-g186338-d5122705-Reviews-Taste_More-London_England.html,8.0
3726,$$ - $$$,"['Dutch', 'Bar', 'European']",/Restaurant_Review-g188590-d12982741-Reviews-Cafe_Czaar-Amsterdam_North_Holland_Province.html,26.0
3727,$$ - $$$,"['French', 'Dining bars', 'Vegetarian Friendly']",/Restaurant_Review-g187147-d8534663-Reviews-Le_Danube-Paris_Ile_de_France.html,55.0
3729,,"['Asian', 'Halal']",/Restaurant_Review-g186525-d4923312-Reviews-Kasbah_Take_Away-Edinburgh_Scotland.html,15.0
3730,$$ - $$$,"['German', 'Cafe', 'European']",/Restaurant_Review-g187323-d10737209-Reviews-Upstalsboom_Hotel_Friedrichshain-Berlin.html,16.0
3731,,,/Restaurant_Review-g187497-d11965233-Reviews-Havanna-Barcelona_Catalonia.html,12.0
3732,,,/Restaurant_Review-g186338-d3605468-Reviews-Pie_in_the_Sky_Community_Cafe-London_England.html,2.0
3733,,"['Bar', 'Pub']",/Restaurant_Review-g187514-d12670532-Reviews-Bar_Beti_Jai-Madrid.html,18.0
3734,,,/Restaurant_Review-g187514-d1522151-Reviews-Bushido_Sushi_Bar-Madrid.html,10.0
3735,,,/Restaurant_Review-g187147-d2720541-Reviews-Samsar-Paris_Ile_de_France.html,10.0
3736,$$ - $$$,"['Asian', 'Thai', 'Vegetarian Friendly']",/Restaurant_Review-g187147-d10041438-Reviews-Spirit_Of_St_Louis-Paris_Ile_de_France.html,19.0
3737,$,"['French', 'Pizza', 'Cafe']",/Restaurant_Review-g187265-d8262489-Reviews-Le_Banquet-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0
3738,,,/Restaurant_Review-g187309-d6732755-Reviews-Cafe_Flower-Munich_Upper_Bavaria_Bavaria.html,11.0
3739,$$ - $$$,"['Cafe', 'European', 'Grill']",/Restaurant_Review-g189158-d12158078-Reviews-Restaurante_El_Rey_D_Carlos-Lisbon_Lisbon_District_Central_Portugal.html,9.0
3740,$$ - $$$,,/Restaurant_Review-g187497-d2490326-Reviews-Restaurant_Hotel_Calabria-Barcelona_Catalonia.html,7.0
3741,$$ - $$$,,/Restaurant_Review-g661468-d7656418-Reviews-L_Alpage-Ecully_Lyon_Rhone_Auvergne_Rhone_Alpes.html,59.0
3742,,,/Restaurant_Review-g188057-d1044884-Reviews-Cafe_Nikolaj-Geneva.html,1.0
3743,$,,/Restaurant_Review-g187309-d8684377-Reviews-Fasaneriesee-Munich_Upper_Bavaria_Bavaria.html,12.0
3744,,"['Italian', 'French']",/Restaurant_Review-g187147-d6920126-Reviews-Italiadomicile_Paris-Paris_Ile_de_France.html,1.0
3745,,"['Caribbean', 'Jamaican']",/Restaurant_Review-g186338-d1961665-Reviews-Dub_Plates_Cafe-London_England.html,1.0
3747,,"['European', 'Portuguese']",/Restaurant_Review-g189158-d12173633-Reviews-Red-Lisbon_Lisbon_District_Central_Portugal.html,11.0
3748,,,/Restaurant_Review-g274707-d4769189-Reviews-U_Kavalira-Prague_Bohemia.html,2.0
3749,$$ - $$$,"['Dutch', 'Bar', 'European']",/Restaurant_Review-g188590-d9872344-Reviews-T_Kelkje-Amsterdam_North_Holland_Province.html,16.0
3750,,"['Italian', 'Bar']",/Restaurant_Review-g187849-d13142340-Reviews-Tennis_Club_Ambrosiano-Milan_Lombardy.html,10.0
3751,$$$$,"['Japanese', 'Sushi', 'Vegetarian Friendly']",/Restaurant_Review-g187791-d12481595-Reviews-Finger_s_Roma-Rome_Lazio.html,98.0
3752,,"['Japanese', 'Fast Food', 'Sushi']",/Restaurant_Review-g189852-d4916072-Reviews-Myntans_Wok_Grill_Sushi-Stockholm.html,10.0
3753,,,/Restaurant_Review-g187147-d12820231-Reviews-Paul-Paris_Ile_de_France.html,13.0
3754,$,"['Brazilian', 'South American']",/Restaurant_Review-g189180-d10712260-Reviews-Pao_com_Manteiga-Porto_Porto_District_Northern_Portugal.html,4.0
3755,$,"['Mediterranean', 'Spanish']",/Restaurant_Review-g187497-d5865385-Reviews-Atrapats-Barcelona_Catalonia.html,9.0
3756,,"['Turkish', 'Middle Eastern']",/Restaurant_Review-g207360-d9742583-Reviews-Metro_Kebab-Villeurbanne_Lyon_Rhone_Auvergne_Rhone_Alpes.html,15.0
3757,$,"['Quick Bites', 'Fast Food']",/Restaurant_Review-g187323-d11444479-Reviews-Fish_Chips_Hauptbahnhof_GmbH-Berlin.html,35.0
3758,,"['European', 'Czech']",/Restaurant_Review-g274707-d5293365-Reviews-Bar_Chameleon-Prague_Bohemia.html,5.0
3759,,"['Austrian', 'European']",/Restaurant_Review-g190454-d7593254-Reviews-Gasthaus_Roman_Loos-Vienna.html,4.0
3761,,"['European', 'Soups', 'Swedish']",/Restaurant_Review-g189852-d6427860-Reviews-Nybergs_Konditori-Stockholm.html,24.0
3763,,"['Mediterranean', 'Vegetarian Friendly']",/Restaurant_Review-g187331-d12328638-Reviews-Trattoria_Calabria-Hamburg.html,18.0
3764,,"['French', 'Deli']",/Restaurant_Review-g187147-d695177-Reviews-BE_Boulangepicier-Paris_Ile_de_France.html,16.0
3765,$,"['Bar', 'Pub']",/Restaurant_Review-g190454-d4721855-Reviews-Schaumweinhauschen-Vienna.html,9.0
3766,,"['Japanese', 'Sushi', 'Asian']",/Restaurant_Review-g274856-d6420257-Reviews-Hanabi_Smak_Azji-Warsaw_Mazovia_Province_Central_Poland.html,2.0
3767,,"['Japanese', 'Sushi']",/Restaurant_Review-g187849-d4271846-Reviews-Sushi_Via_Piero_Della_Francesca-Milan_Lombardy.html,13.0
3768,,"['Fast Food', 'Asian', 'Cantonese']",/Restaurant_Review-g186338-d4911062-Reviews-Silk_Maker-London_England.html,12.0
3769,$,"['Italian', 'Pizza', 'European']",/Restaurant_Review-g187497-d12933562-Reviews-Pizzeria_Carla-Barcelona_Catalonia.html,67.0
3770,,"['Cafe', 'Fast Food', 'Spanish']",/Restaurant_Review-g187514-d12787416-Reviews-100_Montaditos-Madrid.html,3.0
3771,$$ - $$$,,/Restaurant_Review-g187497-d12169186-Reviews-Taberna_Vermuteria_Cal_Boti-Barcelona_Catalonia.html,9.0
3772,,,/Restaurant_Review-g274924-d4770074-Reviews-Koza_Pub-Bratislava_Bratislava_Region.html,7.0
3773,,,/Restaurant_Review-g187147-d2514252-Reviews-Khol_Restaurant-Paris_Ile_de_France.html,1.0
3774,,,/Restaurant_Review-g189934-d12139506-Reviews-Kahvihuone-Helsinki_Uusimaa.html,6.0
3775,,,/Restaurant_Review-g274887-d10156461-Reviews-Anytime_Restaurant_Cafe-Budapest_Central_Hungary.html,17.0
3777,$$ - $$$,"['German', 'Cafe', 'Deli']",/Restaurant_Review-g187323-d10432315-Reviews-Kranhaus_Cafe-Berlin.html,16.0
3778,$,,/Restaurant_Review-g186338-d9769924-Reviews-The_Dutch_House-London_England.html,8.0
3779,,,/Restaurant_Review-g187147-d11789094-Reviews-JSFP_Traiteur-Paris_Ile_de_France.html,4.0
3780,$,"['Quick Bites', 'Mexican', 'Fast Food']",/Restaurant_Review-g188057-d12272347-Reviews-Tacos_Factory-Geneva.html,19.0
3781,$$ - $$$,"['French', 'European']",/Restaurant_Review-g187147-d5799869-Reviews-A_l_unisson-Paris_Ile_de_France.html,20.0
3782,$$ - $$$,"['German', 'European', 'Croatian']",/Restaurant_Review-g187309-d1344087-Reviews-Zum_Blaustern-Munich_Upper_Bavaria_Bavaria.html,14.0
3783,$,"['Japanese', 'Asian', 'Korean']",/Restaurant_Review-g189852-d13078963-Reviews-Sea_Sushi-Stockholm.html,5.0
3784,$,"['Chinese', 'Fast Food', 'Asian']",/Restaurant_Review-g189934-d7736362-Reviews-Huacheng_Restaurant-Helsinki_Uusimaa.html,32.0
3785,$,,/Restaurant_Review-g189180-d6163786-Reviews-O_Melhor_Bolo_De_Chocolate_Do_Mundo-Porto_Porto_District_Northern_Portugal.html,49.0
3786,,,/Restaurant_Review-g186338-d7104794-Reviews-Dixy_Chicken_Edmonton-London_England.html,7.0
3787,,,/Restaurant_Review-g189852-d7375924-Reviews-Skondals_Krog-Stockholm.html,6.0
3788,,"['European', 'Hungarian']",/Restaurant_Review-g274887-d1993113-Reviews-Leguan_Cafe_Bar-Budapest_Central_Hungary.html,4.0
3789,$$ - $$$,"['Mediterranean', 'Spanish']",/Restaurant_Review-g187497-d12982111-Reviews-Extra_Bar-Barcelona_Catalonia.html,25.0
3790,$,"['Lebanese', 'Fast Food', 'Mediterranean']",/Restaurant_Review-g187791-d12911894-Reviews-Shawarma_Express-Rome_Lazio.html,25.0
3791,$$ - $$$,"['Asian', 'Thai', 'Vietnamese']",/Restaurant_Review-g187147-d12706207-Reviews-Siam_Bangkok-Paris_Ile_de_France.html,80.0
3792,$,"['Chinese', 'Sushi']",/Restaurant_Review-g189158-d11633782-Reviews-Restaurante_chines_Royal-Lisbon_Lisbon_District_Central_Portugal.html,10.0
3793,$,"['Bakeries', 'Dutch', 'Cafe']",/Restaurant_Review-g188590-d7378989-Reviews-BBROOD_Zeedijk-Amsterdam_North_Holland_Province.html,21.0
3795,,,/Restaurant_Review-g187514-d12858564-Reviews-El_Almuerzo-Madrid.html,5.0
3796,,,/Restaurant_Review-g187147-d8117836-Reviews-Le_Tonnelier_De_Breteuil-Paris_Ile_de_France.html,9.0
3797,$,"['Bar', 'Cafe', 'European']",/Restaurant_Review-g189158-d13385549-Reviews-Restaurante_A_Ladeira-Lisbon_Lisbon_District_Central_Portugal.html,7.0
3798,,"['Austrian', 'European', 'Central European']",/Restaurant_Review-g190454-d11878056-Reviews-Schutzhaus_Hackenberg-Vienna.html,13.0
3799,$$ - $$$,"['German', 'European', 'Contemporary']",/Restaurant_Review-g187331-d2238042-Reviews-Das_juli-Hamburg.html,17.0
3800,$,,/Restaurant_Review-g187147-d7705163-Reviews-Faisal-Paris_Ile_de_France.html,7.0
3801,,,/Restaurant_Review-g187265-d3167413-Reviews-Il_Grissino-Lyon_Rhone_Auvergne_Rhone_Alpes.html,12.0
3802,$$ - $$$,"['Bar', 'Pub', 'Vegetarian Friendly']",/Restaurant_Review-g186338-d10045612-Reviews-Grow_Bar_Resturant-London_England.html,22.0
3803,,,/Restaurant_Review-g189852-d4472311-Reviews-Ma_Yom-Stockholm.html,7.0
3804,,,/Restaurant_Review-g186338-d11667056-Reviews-Curry_Mania-London_England.html,1.0
3805,,,/Restaurant_Review-g274887-d8341637-Reviews-Nyugi-Budapest_Central_Hungary.html,5.0
3806,,"['European', 'Swedish']",/Restaurant_Review-g189852-d5949091-Reviews-Svenska_Lakaresallskapets_Restaurang_Festvaning-Stockholm.html,1.0
3807,$$ - $$$,"['Cafe', 'European', 'Wine Bar']",/Restaurant_Review-g189400-d12341553-Reviews-Zaf-Athens_Attica.html,50.0
3808,$,"['Cafe', 'European', 'Czech']",/Restaurant_Review-g274707-d7123882-Reviews-Gaspar_Kasper-Prague_Bohemia.html,10.0
3809,,,/Restaurant_Review-g187323-d1418088-Reviews-Cafe_Anna_Koschke-Berlin.html,13.0
3810,$,"['Bar', 'Pub']",/Restaurant_Review-g187514-d8834602-Reviews-Cerveceria_Chinaski_Lavapies-Madrid.html,83.0
